sgRNA	Gene	49117_9
SEPT10_4	SEPT10	0
SEPT10_5	SEPT10	0
SEPT11_1	SEPT11	0
SEPT11_2	SEPT11	0
SEPT11_3	SEPT11	0
SEPT11_4	SEPT11	0
SEPT11_5	SEPT11	0
SEPT12_1	SEPT12	0
SEPT12_2	SEPT12	0
SEPT12_3	SEPT12	0
SEPT12_4	SEPT12	0
SEPT12_5	SEPT12	0
SEPT14_1	SEPT14	0
SEPT14_2	SEPT14	0
SEPT14_4	SEPT14	0
SEPT14_5	SEPT14	0
SEPT2_1	SEPT2	0
SEPT2_2	SEPT2	0
SEPT2_4	SEPT2	0
SEPT2_5	SEPT2	0
SEPT3_1	SEPT3	0
SEPT3_2	SEPT3	0
SEPT3_3	SEPT3	0
SEPT3_4	SEPT3	0
SEPT3_5	SEPT3	0
SEPT5_1	SEPT5	0
SEPT5_2	SEPT5	0
SEPT5_3	SEPT5	0
SEPT5_4	SEPT5	0
SEPT5_5	SEPT5	0
SEPT6_1	SEPT6	0
SEPT6_2	SEPT6	0
SEPT6_3	SEPT6	0
SEPT6_4	SEPT6	0
SEPT6_5	SEPT6	0
SEPT7_1	SEPT7	0
SEPT7_2	SEPT7	0
SEPT7_3	SEPT7	0
SEPT7_4	SEPT7	0
SEPT7_5	SEPT7	0
SEPT8_1	SEPT8	0
SEPT8_2	SEPT8	0
SEPT8_3	SEPT8	0
SEPT8_4	SEPT8	0
SEPT8_5	SEPT8	0
SEPT9_1	SEPT9	0
SEPT9_2	SEPT9	0
SEPT9_4	SEPT9	0
SEPT9_5	SEPT9	0
SEPW1_1	SEPW1	0
SEPW1_2	SEPW1	0
SEPW1_3	SEPW1	0
SEPW1_4	SEPW1	0
SEPW1_5	SEPW1	0
SERAC1_1	SERAC1	0
SERAC1_2	SERAC1	0
SERAC1_3	SERAC1	0
SERBP1_1	SERBP1	0
SERBP1_2	SERBP1	0
SERBP1_4	SERBP1	0
SERBP1_5	SERBP1	0
SERF2_2	SERF2	0
SERF2_3	SERF2	0
SERF2_4	SERF2	0
SERF2_5	SERF2	0
SERGEF_1	SERGEF	0
SERGEF_2	SERGEF	0
SERGEF_3	SERGEF	0
SERGEF_4	SERGEF	0
SERGEF_5	SERGEF	0
SERHL2_1	SERHL2	0
SERHL2_2	SERHL2	0
SERHL2_3	SERHL2	0
SERHL2_5	SERHL2	0
SERINC1_1	SERINC1	0
SERINC1_2	SERINC1	0
SERINC1_3	SERINC1	0
SERINC1_5	SERINC1	0
SERINC2_1	SERINC2	0
SERINC2_2	SERINC2	0
SERINC2_3	SERINC2	0
SERINC2_4	SERINC2	0
SERINC2_5	SERINC2	0
SERINC3_1	SERINC3	0
SERINC3_2	SERINC3	0
SERINC3_3	SERINC3	0
SERINC3_4	SERINC3	0
SERINC3_5	SERINC3	0
SERINC4_1	SERINC4	0
SERINC4_2	SERINC4	0
SERINC4_3	SERINC4	0
SERINC4_4	SERINC4	0
SERINC4_5	SERINC4	0
SERINC5_2	SERINC5	0
SERINC5_3	SERINC5	0
SERINC5_4	SERINC5	0
SERINC5_5	SERINC5	0
SERP1_1	SERP1	0
SERP1_2	SERP1	0
SERP1_4	SERP1	0
SERP1_5	SERP1	0
SERP2_1	SERP2	0
SERP2_2	SERP2	0
SERP2_3	SERP2	0
SERP2_4	SERP2	0
SERP2_5	SERP2	0
SERPINA1_1	SERPINA1	0
SERPINA1_2	SERPINA1	0
SERPINA1_3	SERPINA1	0
SERPINA1_4	SERPINA1	0
SERPINA1_5	SERPINA1	0
SERPINA10_2	SERPINA10	0
SERPINA10_3	SERPINA10	0
SERPINA10_4	SERPINA10	0
SERPINA10_5	SERPINA10	0
SERPINA11_1	SERPINA11	0
SERPINA11_2	SERPINA11	0
SERPINA11_3	SERPINA11	0
SERPINA11_4	SERPINA11	0
SERPINA11_5	SERPINA11	0
SERPINA12_1	SERPINA12	0
SERPINA12_2	SERPINA12	0
SERPINA12_3	SERPINA12	0
SERPINA12_4	SERPINA12	0
SERPINA12_5	SERPINA12	0
SERPINA3_1	SERPINA3	0
SERPINA3_3	SERPINA3	0
SERPINA3_4	SERPINA3	0
SERPINA3_5	SERPINA3	0
SERPINA4_1	SERPINA4	0
SERPINA4_2	SERPINA4	0
SERPINA4_3	SERPINA4	0
SERPINA4_4	SERPINA4	0
SERPINA4_5	SERPINA4	0
SERPINA5_1	SERPINA5	0
SERPINA5_2	SERPINA5	0
SERPINA5_3	SERPINA5	0
SERPINA5_5	SERPINA5	0
SERPINA6_1	SERPINA6	0
SERPINA6_2	SERPINA6	0
SERPINA6_3	SERPINA6	0
SERPINA6_4	SERPINA6	0
SERPINA6_5	SERPINA6	0
SERPINA7_1	SERPINA7	0
SERPINA7_2	SERPINA7	0
SERPINA7_3	SERPINA7	0
SERPINA7_4	SERPINA7	0
SERPINA7_5	SERPINA7	0
SERPINA9_1	SERPINA9	0
SERPINA9_2	SERPINA9	0
SERPINA9_3	SERPINA9	0
SERPINA9_4	SERPINA9	0
SERPINB1_1	SERPINB1	0
SERPINB1_2	SERPINB1	0
SERPINB1_3	SERPINB1	0
SERPINB1_4	SERPINB1	0
SERPINB1_5	SERPINB1	0
SERPINB10_1	SERPINB10	0
SERPINB10_2	SERPINB10	0
SERPINB10_3	SERPINB10	0
SERPINB10_4	SERPINB10	0
SERPINB10_5	SERPINB10	0
SERPINB11_2	SERPINB11	0
SERPINB11_3	SERPINB11	0
SERPINB11_4	SERPINB11	0
SERPINB11_5	SERPINB11	0
SERPINB12_1	SERPINB12	0
SERPINB12_2	SERPINB12	0
SERPINB12_3	SERPINB12	0
SERPINB12_4	SERPINB12	0
SERPINB12_5	SERPINB12	0
SERPINB13_1	SERPINB13	0
SERPINB13_2	SERPINB13	0
SERPINB13_3	SERPINB13	0
SERPINB13_5	SERPINB13	0
SERPINB2_1	SERPINB2	0
SERPINB2_2	SERPINB2	0
SERPINB2_3	SERPINB2	0
SERPINB2_4	SERPINB2	0
SERPINB2_5	SERPINB2	0
SERPINB3_1	SERPINB3	0
SERPINB3_2	SERPINB3	0
SERPINB3_3	SERPINB3	0
SERPINB3_4	SERPINB3	0
SERPINB3_5	SERPINB3	0
SERPINB4_1	SERPINB4	0
SERPINB4_2	SERPINB4	0
SERPINB4_3	SERPINB4	0
SERPINB4_4	SERPINB4	0
SERPINB4_5	SERPINB4	0
SERPINB5_1	SERPINB5	0
SERPINB5_3	SERPINB5	0
SERPINB5_5	SERPINB5	0
SERPINB6_1	SERPINB6	0
SERPINB6_2	SERPINB6	0
SERPINB6_3	SERPINB6	0
SERPINB6_4	SERPINB6	0
SERPINB6_5	SERPINB6	0
SERPINB7_1	SERPINB7	0
SERPINB7_2	SERPINB7	0
SERPINB7_3	SERPINB7	0
SERPINB7_4	SERPINB7	0
SERPINB7_5	SERPINB7	0
SERPINB8_1	SERPINB8	0
SERPINB8_2	SERPINB8	0
SERPINB8_4	SERPINB8	0
SERPINB8_5	SERPINB8	0
SERPINB9_1	SERPINB9	0
SERPINB9_2	SERPINB9	0
SERPINB9_3	SERPINB9	0
SERPINB9_4	SERPINB9	0
SERPINB9_5	SERPINB9	0
SERPINC1_1	SERPINC1	0
SERPINC1_2	SERPINC1	0
SERPINC1_4	SERPINC1	0
SERPINC1_5	SERPINC1	0
SERPIND1_1	SERPIND1	0
SERPIND1_2	SERPIND1	0
SERPIND1_3	SERPIND1	0
SERPIND1_4	SERPIND1	0
SERPIND1_5	SERPIND1	0
SERPINE1_1	SERPINE1	0
SERPINE1_2	SERPINE1	0
SERPINE1_3	SERPINE1	0
SERPINE1_4	SERPINE1	0
SERPINE1_5	SERPINE1	0
SERPINE2_1	SERPINE2	0
SERPINE2_2	SERPINE2	0
SERPINE2_3	SERPINE2	0
SERPINE2_4	SERPINE2	0
SERPINE3_1	SERPINE3	0
SERPINE3_2	SERPINE3	0
SERPINE3_3	SERPINE3	0
SERPINE3_4	SERPINE3	0
SERPINE3_5	SERPINE3	0
SERPINF1_1	SERPINF1	0
SERPINF1_2	SERPINF1	0
SERPINF1_3	SERPINF1	0
SERPINF1_4	SERPINF1	0
SERPINF1_5	SERPINF1	0
SERPINF2_1	SERPINF2	0
SERPINF2_2	SERPINF2	0
SERPINF2_3	SERPINF2	0
SERPINF2_4	SERPINF2	0
SERPINF2_5	SERPINF2	0
SERPING1_1	SERPING1	0
SERPING1_2	SERPING1	0
SERPING1_3	SERPING1	0
SERPING1_4	SERPING1	0
SERPING1_5	SERPING1	0
SERPINH1_1	SERPINH1	0
SERPINH1_2	SERPINH1	0
SERPINH1_4	SERPINH1	0
SERPINH1_5	SERPINH1	0
SERPINI1_1	SERPINI1	0
SERPINI1_2	SERPINI1	0
SERPINI1_3	SERPINI1	0
SERPINI1_4	SERPINI1	0
SERPINI1_5	SERPINI1	0
SERPINI2_1	SERPINI2	0
SERPINI2_3	SERPINI2	0
SERPINI2_4	SERPINI2	0
SERTAD1_1	SERTAD1	0
SERTAD1_2	SERTAD1	0
SERTAD1_3	SERTAD1	0
SERTAD1_4	SERTAD1	0
SERTAD1_5	SERTAD1	0
SERTAD2_1	SERTAD2	0
SERTAD2_2	SERTAD2	0
SERTAD2_3	SERTAD2	0
SERTAD2_4	SERTAD2	0
SERTAD2_5	SERTAD2	0
SERTAD3_1	SERTAD3	0
SERTAD3_2	SERTAD3	0
SERTAD3_3	SERTAD3	0
SERTAD3_4	SERTAD3	0
SERTAD3_5	SERTAD3	0
SERTAD4_1	SERTAD4	0
SERTAD4_3	SERTAD4	0
SERTAD4_4	SERTAD4	0
SERTAD4_5	SERTAD4	0
SERTM1_1	SERTM1	0
SERTM1_3	SERTM1	0
SERTM1_4	SERTM1	0
SERTM1_5	SERTM1	0
SESN1_1	SESN1	0
SESN1_2	SESN1	0
SESN1_3	SESN1	0
SESN1_4	SESN1	0
SESN1_5	SESN1	0
SESN2_1	SESN2	0
SESN2_2	SESN2	0
SESN2_3	SESN2	0
SESN2_4	SESN2	0
SESN2_5	SESN2	0
SESN3_1	SESN3	0
SESN3_2	SESN3	0
SESN3_4	SESN3	0
SESN3_5	SESN3	0
SESTD1_1	SESTD1	0
SESTD1_2	SESTD1	0
SESTD1_4	SESTD1	0
SESTD1_5	SESTD1	0
SET_1	SET	0
SET_2	SET	0
SET_3	SET	0
SET_4	SET	0
SETBP1_1	SETBP1	0
SETBP1_2	SETBP1	0
SETBP1_3	SETBP1	0
SETBP1_4	SETBP1	0
SETBP1_5	SETBP1	0
SETD1A_2	SETD1A	0
SETD1A_3	SETD1A	0
SETD1A_4	SETD1A	0
SETD1A_5	SETD1A	0
SETD1B_1	SETD1B	0
SETD1B_2	SETD1B	0
SETD1B_3	SETD1B	0
SETD1B_5	SETD1B	0
SETD2_1	SETD2	0
SETD2_2	SETD2	0
SETD2_3	SETD2	0
SETD2_4	SETD2	0
SETD2_5	SETD2	0
SETD3_1	SETD3	0
SETD3_3	SETD3	0
SETD3_4	SETD3	0
SETD3_5	SETD3	0
SETD4_1	SETD4	0
SETD4_2	SETD4	0
SETD4_3	SETD4	0
SETD4_4	SETD4	0
SETD4_5	SETD4	0
SETD5_1	SETD5	0
SETD5_2	SETD5	0
SETD5_3	SETD5	0
SETD5_4	SETD5	0
SETD5_5	SETD5	0
SETD6_1	SETD6	0
SETD6_2	SETD6	0
SETD6_4	SETD6	0
SETD6_5	SETD6	0
SETD7_1	SETD7	0
SETD7_2	SETD7	0
SETD7_3	SETD7	0
SETD7_4	SETD7	0
SETD7_5	SETD7	0
SETD9_1	SETD9	0
SETD9_2	SETD9	0
SETD9_3	SETD9	0
SETD9_4	SETD9	0
SETD9_5	SETD9	0
SETDB1_1	SETDB1	0
SETDB1_2	SETDB1	0
SETDB1_3	SETDB1	0
SETDB1_4	SETDB1	0
SETDB1_5	SETDB1	0
SETDB2_1	SETDB2	0
SETDB2_2	SETDB2	0
SETDB2_3	SETDB2	0
SETDB2_4	SETDB2	0
SETDB2_5	SETDB2	0
SETMAR_1	SETMAR	0
SETMAR_2	SETMAR	0
SETMAR_3	SETMAR	0
SETMAR_4	SETMAR	0
SETMAR_5	SETMAR	0
SETSIP_1	SETSIP	0
SETSIP_2	SETSIP	0
SETSIP_3	SETSIP	0
SETSIP_4	SETSIP	0
SETSIP_5	SETSIP	0
SETX_1	SETX	0
SETX_2	SETX	0
SETX_3	SETX	0
SETX_4	SETX	0
SETX_5	SETX	0
SEZ6_1	SEZ6	0
SEZ6_2	SEZ6	0
SEZ6_3	SEZ6	0
SEZ6_4	SEZ6	0
SEZ6_5	SEZ6	0
SEZ6L_1	SEZ6L	0
SEZ6L_2	SEZ6L	0
SEZ6L_3	SEZ6L	0
SEZ6L_4	SEZ6L	0
SEZ6L_5	SEZ6L	0
SEZ6L2_2	SEZ6L2	0
SEZ6L2_3	SEZ6L2	0
SEZ6L2_4	SEZ6L2	0
SEZ6L2_5	SEZ6L2	0
SF1_1	SF1	0
SF1_2	SF1	0
SF1_3	SF1	0
SF1_5	SF1	0
SF3A1_2	SF3A1	0
SF3A1_3	SF3A1	0
SF3A1_4	SF3A1	0
SF3A1_5	SF3A1	0
SF3A2_1	SF3A2	0
SF3A2_3	SF3A2	0
SF3A2_4	SF3A2	0
SF3A3_1	SF3A3	0
SF3A3_3	SF3A3	0
SF3A3_5	SF3A3	0
SF3B1_1	SF3B1	0
SF3B1_2	SF3B1	0
SF3B1_3	SF3B1	0
SF3B1_4	SF3B1	0
SF3B1_5	SF3B1	0
SF3B2_1	SF3B2	0
SF3B2_2	SF3B2	0
SF3B2_3	SF3B2	0
SF3B2_4	SF3B2	0
SF3B2_5	SF3B2	0
SF3B3_1	SF3B3	0
SF3B3_2	SF3B3	0
SF3B3_3	SF3B3	0
SF3B3_4	SF3B3	0
SF3B3_5	SF3B3	0
SF3B4_1	SF3B4	0
SF3B4_2	SF3B4	0
SF3B4_3	SF3B4	0
SF3B4_4	SF3B4	0
SF3B4_5	SF3B4	0
SF3B5_2	SF3B5	0
SF3B5_3	SF3B5	0
SF3B5_4	SF3B5	0
SF3B5_5	SF3B5	0
SF3B6_1	SF3B6	0
SF3B6_2	SF3B6	0
SF3B6_3	SF3B6	0
SF3B6_4	SF3B6	0
SF3B6_5	SF3B6	0
SFI1_1	SFI1	0
SFI1_2	SFI1	0
SFI1_3	SFI1	0
SFI1_4	SFI1	0
SFI1_5	SFI1	0
SFMBT1_1	SFMBT1	0
SFMBT1_2	SFMBT1	0
SFMBT1_3	SFMBT1	0
SFMBT1_4	SFMBT1	0
SFMBT1_5	SFMBT1	0
SFMBT2_1	SFMBT2	0
SFMBT2_2	SFMBT2	0
SFMBT2_3	SFMBT2	0
SFMBT2_4	SFMBT2	0
SFMBT2_5	SFMBT2	0
SFN_1	SFN	0
SFN_2	SFN	0
SFN_3	SFN	0
SFN_4	SFN	0
SFN_5	SFN	0
SFPQ_2	SFPQ	0
SFPQ_3	SFPQ	0
SFPQ_4	SFPQ	0
SFR1_1	SFR1	0
SFR1_2	SFR1	0
SFR1_4	SFR1	0
SFR1_5	SFR1	0
SFRP1_1	SFRP1	0
SFRP1_2	SFRP1	0
SFRP1_3	SFRP1	0
SFRP1_4	SFRP1	0
SFRP1_5	SFRP1	0
SFRP2_1	SFRP2	0
SFRP2_2	SFRP2	0
SFRP2_3	SFRP2	0
SFRP2_4	SFRP2	0
SFRP2_5	SFRP2	0
SFRP4_2	SFRP4	0
SFRP4_3	SFRP4	0
SFRP4_4	SFRP4	0
SFRP4_5	SFRP4	0
SFRP5_1	SFRP5	0
SFRP5_2	SFRP5	0
SFRP5_4	SFRP5	0
SFRP5_5	SFRP5	0
SFSWAP_1	SFSWAP	0
SFSWAP_2	SFSWAP	0
SFSWAP_3	SFSWAP	0
SFSWAP_4	SFSWAP	0
SFSWAP_5	SFSWAP	0
SFT2D1_1	SFT2D1	0
SFT2D1_2	SFT2D1	0
SFT2D1_3	SFT2D1	0
SFT2D1_4	SFT2D1	0
SFT2D1_5	SFT2D1	0
SFT2D2_1	SFT2D2	0
SFT2D2_2	SFT2D2	0
SFT2D2_3	SFT2D2	0
SFT2D2_4	SFT2D2	0
SFT2D2_5	SFT2D2	0
SFT2D3_1	SFT2D3	0
SFT2D3_2	SFT2D3	0
SFT2D3_3	SFT2D3	0
SFT2D3_4	SFT2D3	0
SFT2D3_5	SFT2D3	0
SFTA2_2	SFTA2	0
SFTA2_3	SFTA2	0
SFTA2_5	SFTA2	0
SFTPA1_1	SFTPA1	0
SFTPA1_2	SFTPA1	0
SFTPA1_4	SFTPA1	0
SFTPA1_5	SFTPA1	0
SFTPA2_1	SFTPA2	0
SFTPA2_2	SFTPA2	0
SFTPA2_3	SFTPA2	0
SFTPA2_5	SFTPA2	0
SFTPB_1	SFTPB	0
SFTPB_2	SFTPB	0
SFTPB_3	SFTPB	0
SFTPB_4	SFTPB	0
SFTPB_5	SFTPB	0
SFTPC_1	SFTPC	0
SFTPC_2	SFTPC	0
SFTPC_3	SFTPC	0
SFTPC_4	SFTPC	0
SFTPC_5	SFTPC	0
SFTPD_1	SFTPD	0
SFTPD_2	SFTPD	0
SFTPD_3	SFTPD	0
SFTPD_4	SFTPD	0
SFTPD_5	SFTPD	0
SFXN1_1	SFXN1	0
SFXN1_2	SFXN1	0
SFXN1_3	SFXN1	0
SFXN1_4	SFXN1	0
SFXN1_5	SFXN1	0
SFXN2_1	SFXN2	0
SFXN2_2	SFXN2	0
SFXN2_3	SFXN2	0
SFXN2_4	SFXN2	0
SFXN2_5	SFXN2	0
SFXN3_1	SFXN3	0
SFXN3_2	SFXN3	0
SFXN3_3	SFXN3	0
SFXN3_4	SFXN3	0
SFXN3_5	SFXN3	0
SFXN4_1	SFXN4	0
SFXN4_2	SFXN4	0
SFXN4_3	SFXN4	0
SFXN4_4	SFXN4	0
SFXN4_5	SFXN4	0
SFXN5_1	SFXN5	0
SFXN5_2	SFXN5	0
SFXN5_3	SFXN5	0
SFXN5_4	SFXN5	0
SFXN5_5	SFXN5	0
SGCA_1	SGCA	0
SGCA_2	SGCA	0
SGCA_3	SGCA	0
SGCA_4	SGCA	0
SGCA_5	SGCA	0
SGCB_1	SGCB	0
SGCB_3	SGCB	0
SGCB_4	SGCB	0
SGCB_5	SGCB	0
SGCD_1	SGCD	0
SGCD_2	SGCD	0
SGCD_3	SGCD	0
SGCD_4	SGCD	0
SGCD_5	SGCD	0
SGCE_1	SGCE	0
SGCE_3	SGCE	0
SGCE_4	SGCE	0
SGCE_5	SGCE	0
SGCG_1	SGCG	0
SGCG_2	SGCG	0
SGCG_3	SGCG	0
SGCG_4	SGCG	0
SGCG_5	SGCG	0
SGCZ_1	SGCZ	0
SGCZ_2	SGCZ	0
SGCZ_3	SGCZ	0
SGCZ_4	SGCZ	0
SGCZ_5	SGCZ	0
SGF29_1	SGF29	0
SGF29_2	SGF29	0
SGF29_3	SGF29	0
SGF29_4	SGF29	0
SGIP1_2	SGIP1	0
SGIP1_3	SGIP1	0
SGIP1_4	SGIP1	0
SGK1_1	SGK1	0
SGK1_2	SGK1	0
SGK1_3	SGK1	0
SGK1_4	SGK1	0
SGK1_5	SGK1	0
SGK2_1	SGK2	0
SGK2_2	SGK2	0
SGK2_3	SGK2	0
SGK2_4	SGK2	0
SGK2_5	SGK2	0
SGK223_1	SGK223	0
SGK223_3	SGK223	0
SGK223_5	SGK223	0
SGK3_1	SGK3	0
SGK3_2	SGK3	0
SGK3_3	SGK3	0
SGK3_4	SGK3	0
SGK3_5	SGK3	0
SGK494_1	SGK494	0
SGK494_2	SGK494	0
SGK494_3	SGK494	0
SGK494_4	SGK494	0
SGMS1_1	SGMS1	0
SGMS1_3	SGMS1	0
SGMS1_4	SGMS1	0
SGMS2_1	SGMS2	0
SGMS2_2	SGMS2	0
SGMS2_5	SGMS2	0
SGOL1_1	SGOL1	0
SGOL1_2	SGOL1	0
SGOL1_3	SGOL1	0
SGOL1_5	SGOL1	0
SGOL2_2	SGOL2	0
SGOL2_4	SGOL2	0
SGOL2_5	SGOL2	0
SGPL1_1	SGPL1	0
SGPL1_2	SGPL1	0
SGPL1_3	SGPL1	0
SGPL1_4	SGPL1	0
SGPL1_5	SGPL1	0
SGPP1_1	SGPP1	0
SGPP1_2	SGPP1	0
SGPP1_3	SGPP1	0
SGPP1_4	SGPP1	0
SGPP1_5	SGPP1	0
SGPP2_1	SGPP2	0
SGPP2_2	SGPP2	0
SGPP2_3	SGPP2	0
SGPP2_4	SGPP2	0
SGPP2_5	SGPP2	0
SGSH_1	SGSH	0
SGSH_2	SGSH	0
SGSH_3	SGSH	0
SGSH_4	SGSH	0
SGSH_5	SGSH	0
SGSM1_1	SGSM1	0
SGSM1_2	SGSM1	0
SGSM1_3	SGSM1	0
SGSM1_4	SGSM1	0
SGSM1_5	SGSM1	0
SGSM2_1	SGSM2	0
SGSM2_2	SGSM2	0
SGSM2_3	SGSM2	0
SGSM2_4	SGSM2	0
SGSM2_5	SGSM2	0
SGSM3_1	SGSM3	0
SGSM3_3	SGSM3	0
SGSM3_4	SGSM3	0
SGSM3_5	SGSM3	0
SGTA_1	SGTA	0
SGTA_2	SGTA	0
SGTA_3	SGTA	0
SGTA_4	SGTA	0
SGTA_5	SGTA	0
SGTB_1	SGTB	0
SGTB_2	SGTB	0
SGTB_3	SGTB	0
SGTB_4	SGTB	0
SGTB_5	SGTB	0
SH2B1_1	SH2B1	0
SH2B1_2	SH2B1	0
SH2B1_3	SH2B1	0
SH2B1_4	SH2B1	0
SH2B1_5	SH2B1	0
SH2B2_1	SH2B2	0
SH2B2_2	SH2B2	0
SH2B2_4	SH2B2	0
SH2B3_1	SH2B3	0
SH2B3_2	SH2B3	0
SH2B3_3	SH2B3	0
SH2B3_4	SH2B3	0
SH2B3_5	SH2B3	0
SH2D1A_1	SH2D1A	0
SH2D1A_2	SH2D1A	0
SH2D1A_3	SH2D1A	0
SH2D1A_4	SH2D1A	0
SH2D1A_5	SH2D1A	0
SH2D1B_1	SH2D1B	0
SH2D1B_3	SH2D1B	0
SH2D1B_4	SH2D1B	0
SH2D1B_5	SH2D1B	0
SH2D2A_1	SH2D2A	0
SH2D2A_2	SH2D2A	0
SH2D2A_3	SH2D2A	0
SH2D2A_4	SH2D2A	0
SH2D2A_5	SH2D2A	0
SH2D3A_1	SH2D3A	0
SH2D3A_2	SH2D3A	0
SH2D3A_3	SH2D3A	0
SH2D3A_4	SH2D3A	0
SH2D3A_5	SH2D3A	0
SH2D3C_1	SH2D3C	0
SH2D3C_2	SH2D3C	0
SH2D3C_3	SH2D3C	0
SH2D3C_4	SH2D3C	0
SH2D3C_5	SH2D3C	0
SH2D4A_1	SH2D4A	0
SH2D4A_2	SH2D4A	0
SH2D4A_3	SH2D4A	0
SH2D4A_4	SH2D4A	0
SH2D4A_5	SH2D4A	0
SH2D4B_1	SH2D4B	0
SH2D4B_2	SH2D4B	0
SH2D4B_3	SH2D4B	0
SH2D4B_5	SH2D4B	0
SH2D5_1	SH2D5	0
SH2D5_2	SH2D5	0
SH2D5_3	SH2D5	0
SH2D5_4	SH2D5	0
SH2D5_5	SH2D5	0
SH2D6_1	SH2D6	0
SH2D6_2	SH2D6	0
SH2D6_3	SH2D6	0
SH2D6_4	SH2D6	0
SH2D6_5	SH2D6	0
SH2D7_1	SH2D7	0
SH2D7_2	SH2D7	0
SH2D7_3	SH2D7	0
SH2D7_4	SH2D7	0
SH2D7_5	SH2D7	0
SH3BGR_4	SH3BGR	0
SH3BGR_5	SH3BGR	0
SH3BGRL_1	SH3BGRL	0
SH3BGRL_2	SH3BGRL	0
SH3BGRL_3	SH3BGRL	0
SH3BGRL_4	SH3BGRL	0
SH3BGRL_5	SH3BGRL	0
SH3BGRL2_1	SH3BGRL2	0
SH3BGRL2_2	SH3BGRL2	0
SH3BGRL2_3	SH3BGRL2	0
SH3BGRL2_4	SH3BGRL2	0
SH3BGRL2_5	SH3BGRL2	0
SH3BGRL3_1	SH3BGRL3	0
SH3BGRL3_2	SH3BGRL3	0
SH3BGRL3_4	SH3BGRL3	0
SH3BGRL3_5	SH3BGRL3	0
SH3BP1_1	SH3BP1	0
SH3BP1_2	SH3BP1	0
SH3BP1_3	SH3BP1	0
SH3BP1_4	SH3BP1	0
SH3BP1_5	SH3BP1	0
SH3BP2_1	SH3BP2	0
SH3BP2_2	SH3BP2	0
SH3BP2_3	SH3BP2	0
SH3BP2_4	SH3BP2	0
SH3BP2_5	SH3BP2	0
SH3BP4_1	SH3BP4	0
SH3BP4_2	SH3BP4	0
SH3BP4_3	SH3BP4	0
SH3BP4_4	SH3BP4	0
SH3BP4_5	SH3BP4	0
SH3BP5_1	SH3BP5	0
SH3BP5_2	SH3BP5	0
SH3BP5_3	SH3BP5	0
SH3BP5_4	SH3BP5	0
SH3BP5_5	SH3BP5	0
SH3BP5L_1	SH3BP5L	0
SH3BP5L_2	SH3BP5L	0
SH3BP5L_4	SH3BP5L	0
SH3BP5L_5	SH3BP5L	0
SH3D19_2	SH3D19	0
SH3D19_3	SH3D19	0
SH3D19_4	SH3D19	0
SH3D19_5	SH3D19	0
SH3D21_1	SH3D21	0
SH3D21_2	SH3D21	0
SH3D21_3	SH3D21	0
SH3D21_4	SH3D21	0
SH3D21_5	SH3D21	0
SH3GL1_2	SH3GL1	0
SH3GL1_3	SH3GL1	0
SH3GL1_4	SH3GL1	0
SH3GL1_5	SH3GL1	0
SH3GL2_1	SH3GL2	0
SH3GL2_2	SH3GL2	0
SH3GL2_3	SH3GL2	0
SH3GL2_4	SH3GL2	0
SH3GL3_1	SH3GL3	0
SH3GL3_2	SH3GL3	0
SH3GL3_3	SH3GL3	0
SH3GL3_4	SH3GL3	0
SH3GL3_5	SH3GL3	0
SH3GLB1_1	SH3GLB1	0
SH3GLB1_2	SH3GLB1	0
SH3GLB1_3	SH3GLB1	0
SH3GLB1_4	SH3GLB1	0
SH3GLB1_5	SH3GLB1	0
SH3GLB2_1	SH3GLB2	0
SH3GLB2_2	SH3GLB2	0
SH3GLB2_3	SH3GLB2	0
SH3GLB2_4	SH3GLB2	0
SH3GLB2_5	SH3GLB2	0
SH3KBP1_1	SH3KBP1	0
SH3KBP1_2	SH3KBP1	0
SH3KBP1_3	SH3KBP1	0
SH3KBP1_5	SH3KBP1	0
SH3PXD2A_1	SH3PXD2A	0
SH3PXD2A_2	SH3PXD2A	0
SH3PXD2A_4	SH3PXD2A	0
SH3PXD2A_5	SH3PXD2A	0
SH3PXD2B_1	SH3PXD2B	0
SH3PXD2B_2	SH3PXD2B	0
SH3PXD2B_3	SH3PXD2B	0
SH3PXD2B_4	SH3PXD2B	0
SH3PXD2B_5	SH3PXD2B	0
SH3RF1_1	SH3RF1	0
SH3RF1_2	SH3RF1	0
SH3RF1_3	SH3RF1	0
SH3RF1_4	SH3RF1	0
SH3RF1_5	SH3RF1	0
SH3RF2_1	SH3RF2	0
SH3RF2_2	SH3RF2	0
SH3RF2_3	SH3RF2	0
SH3RF2_4	SH3RF2	0
SH3RF2_5	SH3RF2	0
SH3RF3_1	SH3RF3	0
SH3RF3_2	SH3RF3	0
SH3RF3_3	SH3RF3	0
SH3RF3_4	SH3RF3	0
SH3RF3_5	SH3RF3	0
SH3TC1_1	SH3TC1	0
SH3TC1_3	SH3TC1	0
SH3TC1_4	SH3TC1	0
SH3TC1_5	SH3TC1	0
SH3TC2_2	SH3TC2	0
SH3TC2_3	SH3TC2	0
SH3TC2_4	SH3TC2	0
SH3TC2_5	SH3TC2	0
SH3YL1_2	SH3YL1	0
SH3YL1_3	SH3YL1	0
SH3YL1_4	SH3YL1	0
SH3YL1_5	SH3YL1	0
SHANK1_1	SHANK1	0
SHANK1_2	SHANK1	0
SHANK1_3	SHANK1	0
SHANK1_4	SHANK1	0
SHANK1_5	SHANK1	0
