sgRNA	Gene	49117_9
PRNP_1	PRNP	25522
SCAMP5_5	SCAMP5	16637
GPSM1_3	GPSM1	13681
SBNO1_4	SBNO1	9341
AIDA_3	AIDA	19590
PSMC2_5	PSMC2	3491
TNFRSF10C_2	TNFRSF10C	30239
PRCD_3	PRCD	36251
STC_04250	STC	12731
HSPA1A_3	HSPA1A	34318
OSGEP_1	OSGEP	9763
C16orf89_1	C16orf89	227
FKBP14_5	FKBP14	19530
ADGRB2_5	ADGRB2	48307
PF4V1_4	PF4V1	11262
CCL8_5	CCL8	17640
TLE2_3	TLE2	24747
STC_02332	STC	4911
MRPL27_2	MRPL27	23060
STH_2	STH	28526
RAD17_4	RAD17	10129
E4F1_5	E4F1	8563
YIPF2_5	YIPF2	8795
PLXNB1_5	PLXNB1	17318
KCNK4_4	KCNK4	14507
HMG20B_5	HMG20B	24844
SKIV2L_1	SKIV2L	15517
NUDT2_5	NUDT2	19944
CATSPER4_1	CATSPER4	9272
APOB_4	APOB	11003
LEMD1_2	LEMD1	6131
NUDCD2_3	NUDCD2	10880
CSTF1_1	CSTF1	22643
RS1_5	RS1	21634
GAK_3	GAK	26785
TMEM185A_4	TMEM185A	6080
TMEM191B_5	TMEM191B	17566
FAT1_5	FAT1	6515
NAAA_4	NAAA	13960
PCMT1_3	PCMT1	14804
FBXO6_2	FBXO6	16855
SP7_3	SP7	18901
SPTBN2_4	SPTBN2	6824
LETM2_5	LETM2	34410
C16orf71_4	C16orf71	10253
CHPF2_1	CHPF2	19318
MMD2_3	MMD2	19595
IARS2_5	IARS2	22871
CLASP2_2	CLASP2	7484
SGMS2_4	SGMS2	9625
LRFN5_4	LRFN5	16637
LIMK2_2	LIMK2	9119
LRRC37A2_4	LRRC37A2	11988
TRHR_5	TRHR	54951
WTIP_2	WTIP	11273
ZNF417_1	ZNF417	18294
PROK1_5	PROK1	18690
RWDD3_3	RWDD3	11385
ICAM4_1	ICAM4	15557
SYT14_1	SYT14	18933
WRAP53_1	WRAP53	10809
KRTAP9-4_3	KRTAP9-4	32975
PRAM1_4	PRAM1	12509
SIL1_3	SIL1	15783
CD274_3	CD274	9707
CDC27_3	CDC27	23665
